Graph,Threads,Run,Time(s)
rq4_g10_M40.gr,1,1,4.36827
rq4_g10_M40.gr,1,2,4.53424
rq4_g10_M40.gr,1,3,2.12061
rq4_g10_M40.gr,2,1,0.884359
rq4_g10_M40.gr,2,2,0.893996
rq4_g10_M40.gr,2,3,1.02993
rq4_g10_M40.gr,4,1,0.533157
rq4_g10_M40.gr,4,2,0.532558
rq4_g10_M40.gr,4,3,0.602807
rq4_g10_M40.gr,8,1,0.434294
rq4_g10_M40.gr,8,2,0.35986
rq4_g10_M40.gr,8,3,0.352201
rq4_g10_M40.gr,16,1,0.328386
rq4_g10_M40.gr,16,2,0.394567
rq4_g10_M40.gr,16,3,0.34956
rq4_g10_M40.gr,32,1,0.580936
rq4_g10_M40.gr,32,2,0.474403
rq4_g10_M40.gr,32,3,0.252941
rq4_g12_M45.gr,1,1,50.7825
rq4_g12_M45.gr,1,2,50.6077
rq4_g12_M45.gr,1,3,49.8092
rq4_g12_M45.gr,2,1,18.721
rq4_g12_M45.gr,2,2,20.3052
rq4_g12_M45.gr,2,3,19.017
rq4_g12_M45.gr,4,1,7.58633
rq4_g12_M45.gr,4,2,5.08113
rq4_g12_M45.gr,4,3,7.02009
rq4_g12_M45.gr,8,1,2.8372
rq4_g12_M45.gr,8,2,2.91545
rq4_g12_M45.gr,8,3,3.42772
rq4_g12_M45.gr,16,1,2.1854
rq4_g12_M45.gr,16,2,2.07439
rq4_g12_M45.gr,16,3,2.13082
rq4_g12_M45.gr,32,1,1.78521
rq4_g12_M45.gr,32,2,2.25615
rq4_g12_M45.gr,32,3,2.10113
rq4_g13_M50.gr,1,1,139.457
rq4_g13_M50.gr,1,2,135.548
rq4_g13_M50.gr,1,3,132.871
rq4_g13_M50.gr,2,1,70.5619
rq4_g13_M50.gr,2,2,70.0504
rq4_g13_M50.gr,2,3,69.9423
rq4_g13_M50.gr,4,1,38.4245
rq4_g13_M50.gr,4,2,39.1208
rq4_g13_M50.gr,4,3,34.2894
rq4_g13_M50.gr,8,1,16.2641
rq4_g13_M50.gr,8,2,13.5396
rq4_g13_M50.gr,8,3,14.2573
rq4_g13_M50.gr,16,1,9.57475
rq4_g13_M50.gr,16,2,10.1082
rq4_g13_M50.gr,16,3,10.1866
rq4_g13_M50.gr,32,1,8.13962
rq4_g13_M50.gr,32,2,8.17163
rq4_g13_M50.gr,32,3,8.19839
rq4_g14_M55.gr,1,1,396.99
rq4_g14_M55.gr,1,2,389.074
rq4_g14_M55.gr,1,3,427.216
rq4_g14_M55.gr,2,1,203.715
rq4_g14_M55.gr,2,2,204.05
rq4_g14_M55.gr,2,3,202.564
rq4_g14_M55.gr,4,1,108.993
rq4_g14_M55.gr,4,2,109.897
rq4_g14_M55.gr,4,3,108.596
rq4_g14_M55.gr,8,1,66.1803
rq4_g14_M55.gr,8,2,66.5432
rq4_g14_M55.gr,8,3,68.7652
rq4_g14_M55.gr,16,1,47.4056
rq4_g14_M55.gr,16,2,47.2151
rq4_g14_M55.gr,16,3,46.0735
rq4_g14_M55.gr,32,1,36.5682
rq4_g14_M55.gr,32,2,36.5302
rq4_g14_M55.gr,32,3,35.776
rq4_g15_M60.gr,1,1,ERROR
rq4_g15_M60.gr,1,2,ERROR
rq4_g15_M60.gr,1,3,ERROR
rq4_g15_M60.gr,2,1,ERROR
rq4_g15_M60.gr,2,2,567.532
rq4_g15_M60.gr,2,3,576.021
rq4_g15_M60.gr,4,1,326.929
rq4_g15_M60.gr,4,2,324.945
rq4_g15_M60.gr,4,3,315.003
rq4_g15_M60.gr,8,1,196.997
rq4_g15_M60.gr,8,2,196.786
rq4_g15_M60.gr,8,3,199.294
rq4_g15_M60.gr,16,1,130.999
rq4_g15_M60.gr,16,2,133.48
rq4_g15_M60.gr,16,3,153.111
rq4_g15_M60.gr,32,1,106.531
rq4_g15_M60.gr,32,2,97.0808
rq4_g15_M60.gr,32,3,104.51
